"","state","city_state","City.x","Code","cnt","Population","Mean","Lat","Lon","HouseholdIncome","cat_pop","otn_cnt","avg_city","otn_pop","otn_income","avg_cnt"
"1","Alabama","Northport Alabama","Northport","AL",13,31125,77977,33.3231423,-87.5661153,69842,2,41.7670682730924,26601.6625,1.17003965447648,1.11647719137482,137.717343875985
"2","Alabama","Greensboro Alabama","Greensboro","AL",6,2218,43686,32.6514361,-87.6504698,69842,0,270.513976555455,26601.6625,0.0833782475061474,0.625497551616506,137.717343875985
"3","Alabama","Huntsville Alabama","Huntsville","AL",472,215006,116068,34.7908679,-86.7292721,69842,3,219.528757337005,26601.6625,8.08242717912837,1.66186535322585,137.717343875985
"4","Alabama","Daphne Alabama","Daphne","AL",7,27462,107603,30.6478335,-87.8437739,69842,2,25.4897676789746,26601.6625,1.03234149369424,1.54066321124825,137.717343875985
"5","Alabama","Talladega Alabama","Talladega","AL",24,15861,45623,33.4863993,-86.2098235,69842,2,151.314545110649,26601.6625,0.59624093043057,0.653231579851665,137.717343875985
"6","Alabama","Eutaw Alabama","Eutaw","AL",11,2937,30928,32.9585581,-88.0510053,69842,0,374.531835205993,26601.6625,0.110406633419998,0.442828097706251,137.717343875985
"7","Alabama","Dothan Alabama","Dothan","AL",73,71072,75861,31.2357975,-85.4197082,69842,3,102.712742008104,26601.6625,2.6717127172033,1.08618023538845,137.717343875985
"8","Alabama","Tuscaloosa Alabama","Tuscaloosa","AL",243,99600,126456,33.2801674,-87.4861527,69842,3,243.975903614458,26601.6625,3.74412689432474,1.8106010709888,137.717343875985
"9","Alabama","Fairhope Alabama","Fairhope","AL",6,22477,67864,30.5408065,-87.891618,69842,2,26.6939538194599,26601.6625,0.844947190800575,0.971678932447524,137.717343875985
"10","Alabama","Wetumpka Alabama","Wetumpka","AL",6,7220,81059,32.5201384,-86.1722101,69842,1,83.1024930747922,26601.6625,0.271411608203059,1.16060536639844,137.717343875985
"11","Alabama","Athens Alabama","Athens","AL",51,25406,84102,34.8681621,-86.8659585,69842,2,200.739982681256,26601.6625,0.955053091136691,1.20417513816901,137.717343875985
"12","Alabama","Ozark Alabama","Ozark","AL",22,14368,86605,32.461669,-85.025021,69842,1,153.118040089087,26601.6625,0.540116618651184,1.24001317258956,137.717343875985
"13","Alabama","Fairfield Alabama","Fairfield","AL",88,10000,60913,33.4589571,-86.936987,69842,1,880,26601.6625,0.375916354851882,0.872154291114229,137.717343875985
"14","Alabama","Russellville Alabama","Russellville","AL",15,10855,78787,34.5125993,-87.7533372,69842,1,138.185168125288,26601.6625,0.408057203191718,1.12807479739985,137.717343875985
"15","Alabama","Prattville Alabama","Prattville","AL",25,37781,58180,32.4740243,-86.4597033,69842,2,66.170826605966,26601.6625,1.4202495802659,0.833023109303857,137.717343875985
"16","Alabama","Hamilton Alabama","Hamilton","AL",8,7042,50049,34.1982117,-87.949109,69842,1,113.604089747231,26601.6625,0.264720297086695,0.716603190057558,137.717343875985
"17","Alabama","Alexander City Alabama","Alexander City","AL",18,14843,40286,32.9486832,-85.9841238,69842,1,121.269285184936,26601.6625,0.557972645506648,0.576816242375648,137.717343875985
"18","Alabama","Madison Alabama","Madison","AL",38,56933,134609,34.7373139,-86.7646588,69842,3,66.7451214585565,26601.6625,2.14020458307822,1.92733598694195,137.717343875985
"19","Alabama","Prichard Alabama","Prichard","AL",14,19322,25820,30.7432485,-88.081799,69842,2,72.4562674671359,26601.6625,0.726345580844806,0.369691589587927,137.717343875985
"20","Alabama","Robertsdale Alabama","Robertsdale","AL",9,6708,69996,30.5641292,-87.6870074,69842,1,134.168157423971,26601.6625,0.252164690834642,1.00220497694797,137.717343875985
"21","Alabama","Phenix City Alabama","Phenix City","AL",85,38816,47470,32.4815891,-85.0367586,69842,2,218.981863149217,26601.6625,1.45915692299306,0.679676985195155,137.717343875985
