"","state","mean_n_killed","max_n_killed","mean_n_killed_dif","max_n_killed_dif","mean_n_injured","max_n_injured","mean_n_injured_dif","max_n_injured_dif","total_killed","total_injured","number_of_incidents","death_perc","mean_female_percentage","mean_child_percentage","population","total_killed_per100000","total_injured_per100000","number_of_incidents_per100000","HFR"
"1","Alabama",0.343630049351124,5,1.36204636069209,0.1,0.547980259550356,12,1.10925714657059,0.226415094339623,1880,2998,5471,34,5.52001462255529,0.137817583622738,4888949,38.4540726442432,61.321973291192,111.90544225354,0.528
"2","Alaska",0.197924388435878,4,0.78451286047407,0.08,0.240919199406968,6,0.487684253274978,0.113207547169811,267,325,1349,20,4.42920681986657,0.114158636026686,738068,36.1755285420856,44.0338830568457,182.774486903646,0.572
"3","Arizona",0.469931271477663,5,1.86266649060581,0.1,0.470790378006873,6,0.953004386999825,0.113207547169811,1094,1096,2328,47,5.26202749140893,0.137027491408935,7123898,15.3567611439692,15.3848356615999,32.6787385220844,0.36
"4","Arkansas",0.271991555242787,4,1.07809287533779,0.08,0.47396199859254,25,0.959424586887589,0.471698113207547,773,1347,2842,27,5.40112596762843,0.14954257565095,3020327,25.59325529984,44.5978200373668,94.0957717492179,0.518
"5","California",0.341101435054581,16,1.35202369268997,0.32,0.468784496504354,19,0.948943951695699,0.358490566037736,5562,7644,16306,34,3.67656077517478,0.0726113087207163,39776830,13.98301473496,19.2172176616387,40.9937141798379,0.163
"6","Colorado",0.248672289909403,4,0.985662307809355,0.08,0.353951890034364,9,0.716492349350233,0.169811320754717,796,1133,3201,25,4.27210246797876,0.0781005935645111,5684203,14.0037222456693,19.9324337994262,56.3139634527479,0.379
"7","Connecticut",0.111183567003587,2,0.440698283202994,0.04,0.410172807303554,13,0.83029837279855,0.245283018867925,341,1258,3067,11,2.901858493642,0.0482556243886534,3588683,9.50209310769438,35.0546426084444,85.4631072178847,0.188
"8","Delaware",0.128783382789318,3,0.510458669656599,0.06,0.506231454005935,6,1.02474650936454,0.113207547169811,217,853,1685,13,3.18991097922849,0.0599406528189911,971180,22.343952717313,87.8312980086081,173.500278012315,0.387
"9","District of Columbia",0.143661971830986,11,0.569432930186797,0.22,0.442879499217527,13,0.896505377729762,0.245283018867925,459,1415,3195,14,1.61971830985915,0.0428794992175274,703608,65.2351877750111,201.106297824925,454.088071767234,NA
"10","Florida",0.260097145518664,50,1.03094700579607,1,0.470556923281655,53,0.952531812818849,1,3909,7072,15029,26,4.73418058420387,0.11783884489986,21312211,18.3415976878232,33.1828546554837,70.5182582886403,0.288
